record_type,perm_id,n_boot,seed,runtime_sec,converged,FP_between,slope_1985_1991,slope_1992_2001,slope_2002_2007,slope_2008_2015
metadata,NA,1000,42,414.01300000000003,NA,NA,NA,NA,NA,NA
permutation,124,NA,NA,NA,TRUE,-0.030935683844877784,-0.030935683844877784,-0.010490701854675752,-0.0060142972143596846,-0.014063270882489508
permutation,125,NA,NA,NA,TRUE,-0.019317160721010505,-0.019317160721010505,-0.01843279520867361,-0.01664520507910546,0.004784626112179561
permutation,126,NA,NA,NA,TRUE,0.0016095722873969793,0.0016095722873969793,-0.014220730529845538,-0.03261776186331531,-0.01721585467799777
permutation,127,NA,NA,NA,TRUE,-0.016682399508318495,-0.016682399508318495,-0.009365489871351136,0.00471502521436655,0.012899633832094873
permutation,128,NA,NA,NA,TRUE,6.189569685924702e-4,6.189569685924702e-4,0.0024707623070351833,-0.009548852561681441,0.004525777000542354
permutation,129,NA,NA,NA,TRUE,0.010989985077286492,0.010989985077286492,0.005140489503086312,-0.009205851539041918,-0.010122789917670525
permutation,130,NA,NA,NA,TRUE,-0.012778797041097092,-0.012778797041097092,-0.007605265181365595,0.00674329832846364,-0.0035476361922523927
permutation,131,NA,NA,NA,TRUE,0.029488770000452736,0.029488770000452736,0.016884032892524298,-0.0046357798000889565,-0.005322319606927545
permutation,132,NA,NA,NA,TRUE,0.0031180876195508957,0.0031180876195508957,-0.016238568618588117,-0.04519115253411485,-0.024026516961901685
permutation,133,NA,NA,NA,TRUE,-0.012602811776308549,-0.012602811776308549,-0.00407301685534848,0.0033438887995212285,0.014002675984725323
permutation,134,NA,NA,NA,TRUE,0.010109242790233695,0.010109242790233695,-4.1691630798159664e-4,0.007239240509424011,0.003928588685838872
permutation,135,NA,NA,NA,TRUE,0.026535516669539856,0.026535516669539856,0.006459445325259119,0.0032982273083294253,0.003547271690354195
permutation,136,NA,NA,NA,TRUE,-0.013120223880551049,-0.013120223880551049,0.0029641692072309295,0.0015965875860323702,0.002481493029512444
permutation,137,NA,NA,NA,TRUE,-0.022574134274586027,-0.022574134274586027,-0.020168967565209642,-0.0084902421076064,-0.004423145722067881
permutation,138,NA,NA,NA,TRUE,-0.016517876072001475,-0.016517876072001475,-0.01874258908566185,-0.015381324435777359,-0.026814518320529893
permutation,139,NA,NA,NA,TRUE,0.02691985164022504,0.02691985164022504,0.013259727030865231,-0.015247200065808444,1.3117268118132547e-4
permutation,140,NA,NA,NA,TRUE,0.009602570536128032,0.009602570536128032,-0.0016742746995886508,-1.4993649033463036e-4,-0.009009167059894685
permutation,141,NA,NA,NA,TRUE,-0.016473742733954667,-0.016473742733954667,0.00390659480622715,-0.001158357346437414,-0.008029838898440738
permutation,142,NA,NA,NA,TRUE,0.0014777603195510198,0.0014777603195510198,-0.0010451545213044967,-0.008688623965853577,-4.997813109843539e-4
permutation,143,NA,NA,NA,TRUE,0.0023983596374074264,0.0023983596374074264,0.014564334022774962,0.009872429669589485,0.0016562612664397444
permutation,144,NA,NA,NA,TRUE,-0.02858658252776068,-0.02858658252776068,-0.004109938764628066,0.01703169555561629,0.005758261461638194
permutation,145,NA,NA,NA,TRUE,0.009518614364797211,0.009518614364797211,0.013308597544014103,-0.012072961681565287,-0.01560729489765381
permutation,146,NA,NA,NA,TRUE,0.0018067690200702891,0.0018067690200702891,0.007130033715228657,0.014906294993978537,0.007095101048375284
permutation,147,NA,NA,NA,TRUE,0.009385625197863328,0.009385625197863328,0.01586920379173086,-0.02997268962635009,-0.02158252583144421
permutation,148,NA,NA,NA,TRUE,-0.005652129452425602,-0.005652129452425602,-0.022559431411185764,0.008264548951985515,-1.0537394430391433e-4
permutation,149,NA,NA,NA,TRUE,-0.00493624606704252,-0.00493624606704252,0.011711905539167827,0.017634919959350213,0.010811157994816915
permutation,150,NA,NA,NA,TRUE,-0.007949519428274793,-0.007949519428274793,-0.023497726502647854,-0.009751121736703835,-0.00469102773186422
permutation,151,NA,NA,NA,TRUE,0.01897467357471227,0.01897467357471227,0.007952927925369176,0.009663409477221238,0.014137925613499637
permutation,152,NA,NA,NA,TRUE,-2.4743457334448933e-4,-2.4743457334448933e-4,-0.01164511359327437,0.00973977591315984,0.0192436481556704
permutation,153,NA,NA,NA,TRUE,0.01691306880268065,0.01691306880268065,-0.0033749616984936476,0.022335993562812018,0.013445551759320551
permutation,154,NA,NA,NA,TRUE,0.01881307171330488,0.01881307171330488,0.0329614114782131,0.029393986353095786,0.022308106130766225
