"stat_rec","lon","lat","mean_elevation_m","mean_depth_m","depth_min_m","depth_max_m","depth_range_m","grad_bearing_cross_deg","grad_bearing_along_deg","grad_magnitude_m_per_m","elev_at_centroid_m","pct_sounding","n_cells","n_nonland","n_direct","dist_to_gebco_edge_deg","tid_flag_lt50","tid_flag_lt25"
"41F0",0.500000000000057,56.2499999996503,-84.1390972222222,84.1390972222222,69,212,143,40.5801905690038,130.580190569004,0.00681258873716277,-84,63.40625,28800,28800,18261,5.50000000000006,FALSE,FALSE
"41F1",1.4999999998002,56.2499999996503,-85.5475,85.5475,73,103,30,354.052980959193,84.0529809591927,0.0034680885930865,-82,48.9409722222222,28800,28800,14095,6.2499999996503,TRUE,FALSE
"41F2",2.50000000004999,56.2499999996503,-76.1957638888889,76.1957638888889,52,91,39,270,0,0.00191639717331417,-76,48.7048611111111,28800,28800,14027,6.2499999996503,TRUE,FALSE
"41F3",3.50000000029982,56.2499999996503,-68.125625,68.125625,52,84,32,318.365709030597,48.3657090305968,0.00288451715637151,-68,55.4375,28800,28800,15966,6.2499999996503,FALSE,FALSE
"41F4",4.50000000009999,56.2499999996503,-58.6738888888889,58.6738888888889,40,74,34,90,180,0.000718648939992813,-59,88.0659722222222,28800,28800,25363,5.49999999990001,FALSE,FALSE
"41F5",5.49999999990013,56.2499999996503,-49.5156944444444,49.5156944444444,32,65,33,258.690358619097,348.690358619097,0.00109932037352127,-56,100,28800,28800,28800,4.50000000009988,FALSE,FALSE
"41F6",6.49999999970026,56.2499999996503,-38.5237152777778,38.5237152777778,24,49,25,209.055246713184,299.055246713184,0.00073987943186343,-38,100,28800,28800,28800,3.50000000029974,FALSE,FALSE
"41F7",7.49999999995009,56.2499999996503,-28.9010416666667,28.9010416666667,13,39,26,0,90,0,-33,100,28800,28800,28800,2.50000000004991,FALSE,FALSE
"42E7",-2.50000000029974,56.7500000000001,104.600694444444,-104.600694444444,-875,94,969,328.731804425077,58.7318044250765,0.023768292253071,81,93.9635841779532,28800,11149,10476,2.49999999970027,FALSE,FALSE
"42E8",-1.50000000004991,56.7500000000001,-63.7817708333333,63.7817708333333,33,133,100,110.04036752855,200.04036752855,0.00127494430223692,-55,100,28800,28800,28800,3.49999999995009,FALSE,FALSE
"42E9",-0.499999999800082,56.7500000000001,-72.2890277777778,72.2890277777778,59,148,89,145.574565116335,235.574565116335,0.00105932940161877,-72,89.2083333333333,28800,28800,25692,4.50000000019992,FALSE,FALSE
