phase_v2,FP_between,smooth_fit,smooth_se,smooth_lo,smooth_hi,linear_fit,linear_se,linear_lo,linear_hi,centered_at_FP_between
1985-1991,10.05892719105742,-0.026219316837148433,0.01679079107728885,-0.05912926734863458,0.006690633674337712,-0.027100809090115557,0.155962546483353,-0.3327874001974874,0.27858578201725637,8.966104274930782
1985-1991,10.098066897924536,-0.027154963599314994,0.017402035321301586,-0.0612629528290661,0.006953025630436111,-0.02806869512904825,0.15656940328186272,-0.3349447255614992,0.2788073353034027,8.966104274930782
1985-1991,10.137206604791652,-0.028090539172528756,0.018013454594394004,-0.06339691017754101,0.007215831832483494,-0.029036581167980968,0.15717626008037244,-0.33710205092551093,0.279028888589549,8.966104274930782
1985-1991,10.176346311658769,-0.029026047719135407,0.018625045846112406,-0.06553113757751572,0.007479042139244909,-0.030004467206913688,0.15778311687888213,-0.3392593762895227,0.2792504418756953,8.966104274930782
1985-1991,10.215486018525883,-0.02996149364817538,0.01923680535830454,-0.06766563215045228,0.007742644854101519,-0.03097235324584635,0.15838997367739183,-0.3414167016535343,0.2794719951618416,8.966104274930782
1985-1991,10.254625725393,-0.030896881594988435,0.01984872870662201,-0.06980038985996757,0.008006626669990705,-0.03194023928477907,0.15899683047590155,-0.3435740270175461,0.27969354844798794,8.966104274930782
1985-1991,10.293765432260116,-0.03183221646726535,0.020460810835432205,-0.07193540570471246,0.008270972770181774,-0.03290812532371179,0.15960368727441127,-0.3457313523815579,0.2799151017341343,8.966104274930782
1985-1991,10.33290513912723,-0.03276750340438203,0.021073046208155564,-0.07407067397236694,0.008535667163602871,-0.033876011362644454,0.16021054407292096,-0.34788867774556953,0.2801366550202806,8.966104274930782
1985-1991,10.372044845994349,-0.033702747585988596,0.02168542877623092,-0.0762061879874012,0.008800692815424005,-0.03484389740157717,0.1608174008714307,-0.35004600310958134,0.280358208306427,8.966104274930782
1985-1991,10.411184552861464,-0.03463795416052062,0.022297951903333828,-0.07834193989105492,0.009066031570013677,-0.03581178344050984,0.1614242576699404,-0.352203328473593,0.2805797615925733,8.966104274930782
1985-1991,10.45032425972858,-0.03557312803612863,0.02291060858735062,-0.08047792086733585,0.009331664795078583,-0.036779669479442556,0.16203111446845012,-0.3543606538376048,0.2808013148787197,8.966104274930782
1985-1991,10.489463966595697,-0.036508273719189716,0.02352339174128447,-0.08261412153210727,0.009597574093727843,-0.037747555518375275,0.16263797126695984,-0.35651797920161654,0.281022868164866,8.966104274930782
1985-1991,10.528603673462811,-0.037443395422487764,0.02413629416287305,-0.08475053198171895,0.009863741136743417,-0.03871544155730794,0.16324482806546953,-0.3586753045656282,0.2812444214510123,8.966104274930782
1985-1991,10.567743380329928,-0.038378496875958214,0.0247493087719603,-0.08688714206900039,0.010130148317083969,-0.03968332759624066,0.16385168486397922,-0.36083262992963994,0.2814659747371586,8.966104274930782
1985-1991,10.606883087197044,-0.03931358132958407,0.025362428732939896,-0.08902394164614627,0.010396778986978127,-0.04065121363517338,0.16445854166248897,-0.36298995529365174,0.281687528023305,8.966104274930782
1985-1991,10.646022794064159,-0.040248651899600855,0.02597564722193213,-0.09116092045458783,0.010663616655386121,-0.04161909967410604,0.16506539846099863,-0.36514728065766333,0.28190908130945125,8.966104274930782
1985-1991,10.685162500931277,-0.04118371125703507,0.026588957731657106,-0.093298068411083,0.010930645897012856,-0.04258698571303876,0.1656722552595084,-0.36730460602167525,0.28213063459559773,8.966104274930782
1985-1991,10.724302207798392,-0.0421187619336947,0.027202353876402394,-0.09543537553144339,0.011197851664053987,-0.043554871751971425,0.1662791120580181,-0.3694619313856869,0.28235218788174404,8.966104274930782
