seed,drop_frac,n_drop,n_keep,n_hauls,converged,phase,fp_slope,p_value
73,0.25,40,118,7811,TRUE,1985-1991,-0.016246690045281058,0.3474700704911213
73,0.25,40,118,7811,TRUE,1992-2001,0.02735543256961253,0.08058826871948681
73,0.25,40,118,7811,TRUE,2002-2007,0.13668870769309077,2.99363362130869e-15
73,0.25,40,118,7811,TRUE,2008-2015,0.06809224578987513,2.3206892220424913e-5
74,0.25,40,118,7797,TRUE,1985-1991,-0.01834863426053497,0.310908671803963
74,0.25,40,118,7797,TRUE,1992-2001,0.021989575927047277,0.18227162092405677
74,0.25,40,118,7797,TRUE,2002-2007,0.12124486791503526,1.2544278905003583e-11
74,0.25,40,118,7797,TRUE,2008-2015,0.049485919021796776,0.00355812074590177
75,0.25,40,118,7877,TRUE,1985-1991,-0.0065634159608498,0.7076424173233522
75,0.25,40,118,7877,TRUE,1992-2001,0.018784457284708143,0.23283972151467658
75,0.25,40,118,7877,TRUE,2002-2007,0.12470049568765076,6.106653549604854e-13
75,0.25,40,118,7877,TRUE,2008-2015,0.060940407493285546,1.737285617845293e-4
76,0.25,40,118,7837,TRUE,1985-1991,-0.03637818258161554,0.049456169874787737
76,0.25,40,118,7837,TRUE,1992-2001,0.02033101662626805,0.23488050489869677
76,0.25,40,118,7837,TRUE,2002-2007,0.14269705057557017,3.0750793539795086e-14
76,0.25,40,118,7837,TRUE,2008-2015,0.06481454383703444,2.3632606222582782e-4
77,0.25,40,118,7880,TRUE,1985-1991,-0.01643375942043879,0.3528915240599627
77,0.25,40,118,7880,TRUE,1992-2001,0.014859504509482199,0.36067085912495506
77,0.25,40,118,7880,TRUE,2002-2007,0.11961629825653333,1.2959862428005354e-11
77,0.25,40,118,7880,TRUE,2008-2015,0.053656146025427995,0.0013240230185085386
78,0.25,40,118,7831,TRUE,1985-1991,-0.036416409066482344,0.03709919650187883
78,0.25,40,118,7831,TRUE,1992-2001,0.004889572504618314,0.7595316971818046
78,0.25,40,118,7831,TRUE,2002-2007,0.11178113377828293,1.761562972638568e-10
78,0.25,40,118,7831,TRUE,2008-2015,0.030779078606791757,0.06009232714606092
79,0.25,40,118,7901,TRUE,1985-1991,-0.009039917679921551,0.6340141153201502
79,0.25,40,118,7901,TRUE,1992-2001,0.0013166541251595967,0.9395107289598847
