stat_rec,year,mean_ln_B_obs_ry,n_hauls_ry,B_lag_neighbour,n_neighbours_used
42F0,1995,12.419076638265768,2,12.34253269110512,4
42F1,1995,12.55941070661933,3,12.637149249592976,4
42F2,1995,12.998622810715066,2,12.703609939120273,4
42F3,1995,12.844594294542063,2,12.062222860766989,4
42F4,1995,11.357510201822139,3,11.902352606603012,4
42F5,1995,11.624128961124606,4,11.255732523838622,4
42F6,1995,10.991030875250198,4,11.274951507669773,4
42F7,1995,10.88447588492516,2,11.142658560840827,4
43E8,1995,11.585185849519913,2,12.191237710034754,4
43E9,1995,11.79978669285202,2,11.955825630509644,4
43F0,1995,11.946949494864402,2,12.04788305204071,4
43F1,1995,12.768076088342116,2,12.259997848367899,4
43F2,1995,12.181582006818058,2,12.628353944743925,4
43F3,1995,12.25073749635461,2,12.189962161821956,4
43F4,1995,11.774951262364695,2,12.035723668823485,4
43F5,1995,11.604466303535919,2,11.97545029291521,4
43F6,1995,11.855877372094163,2,11.523951948096421,4
43F7,1995,10.853467037522186,2,11.150410772691572,4
44E6,1995,12.521601123815298,2,12.723338807562248,3
44E7,1995,11.981926354979858,2,12.944204396153037,4
44E8,1995,13.067126393089959,2,12.129338336469685,4
44E9,1995,12.497597325485174,2,12.203212445189816,4
44F0,1995,11.204592788702936,2,12.20914039864826,4
44F1,1995,12.352049185169804,2,12.255334307748523,4
44F2,1995,12.495979383563906,2,11.829144953972612,4
44F3,1995,11.95872108356301,2,12.627457180260356,4
44F4,1995,12.930180673581273,2,12.332432212488936,4
44F5,1995,12.64684357607738,2,12.314702791858135,4
45E6,1995,13.967371182110053,2,12.413706248854526,3
45E7,1995,12.220718885596835,1,12.725185022533788,4
45E8,1995,12.452643815893794,1,12.8084830929138,4
45E9,1995,12.741343906114354,1,12.614580126236941,4
45F0,1995,12.039965589073663,2,12.393443042928926,4
45F1,1995,12.55268897038513,2,11.865538480118117,4
45F2,1995,10.824227540339578,2,12.333893340619106,4
45F3,1995,12.832931167541634,3,12.070883135940438,4
45F4,1995,12.949212927950654,2,12.568300979148606,4
46E6,1995,NA,0,12.703629553803731,3
46E7,1995,12.498798737151445,1,12.356726938200195,3
46E8,1995,13.204743186854051,1,13.017666736824467,4
46E9,1995,13.468113774495137,2,13.14218202717299,4
46F0,1995,13.075146506513287,2,12.551541902264644,4
46F1,1995,12.245911605889422,2,12.15063198301709,4
46F2,1995,11.453973840985753,2,12.135914295076397,4
46F3,1995,12.551370991908506,2,12.442131066141181,4
47E6,1995,NA,0,12.071758739650571,2
47E7,1995,11.644718742149697,1,13.07495467845447,2
47E8,1995,13.651110619757494,1,12.798985479404672,3
47E9,1995,13.547494509210269,1,13.323050994820075,4
47F0,1995,12.452176639600353,2,12.804725998395277,4
47F1,1995,11.520718614184192,2,12.580878378583874,4
47F2,1995,12.922147042168078,2,12.259267146923266,4
47F3,1995,12.55947221386926,2,13.070674990956164,4
48E7,1995,NA,0,11.644718742149697,1
48E8,1995,NA,0,13.685956782592404,2
48E9,1995,13.720802945427314,1,13.311519436441817,2
48F0,1995,13.075544363673364,4,12.957759861221682,4
48F1,1995,12.703278226677643,2,12.508585750198964,4
48F2,1995,13.502903918653859,2,12.784700735176902,4
48F3,1995,13.306278011094214,1,12.646509950518832,4
49E8,1995,NA,0,12.986001133714577,1
49E9,1995,NA,0,13.220528570774437,3
49F0,1995,12.954781633181419,2,12.466394272330898,3
49F1,1995,11.935176104284444,2,12.907673955112665,4
49F2,1995,12.207099660767673,2,12.693181768581374,4
49F3,1995,12.316564008784535,2,12.960158454257709,4
50E8,1995,NA,0,12.566635866794076,3
50E9,1995,12.986001133714577,1,12.432338773038946,2
50F0,1995,12.388462349034889,2,13.124106480070829,4
50F1,1995,13.765536299823928,2,12.476570102814168,4
50F2,1995,13.018083042602655,2,12.907027415229749,4
50F3,1995,13.309173102566291,2,12.472011827478992,4
51E8,1995,12.237691269624648,1,12.750774394773657,3
51E9,1995,12.476215197043002,1,12.671266418967539,3
51F0,1995,12.790106853563394,2,12.603809398781788,4
51F1,1995,12.564558915334686,2,12.82260152504583,4
51F2,1995,12.346300597761104,2,13.16433784008189,4
31F1,1996,NA,0,11.82164416461138,4
31F2,1996,14.029803572898143,1,11.268615087886204,3
32F1,1996,10.725498215508704,2,11.086572717785588,3
32F2,1996,12.719600585159707,2,11.461122883678783,4
32F3,1996,10.3607464629902,1,10.492025267721363,4
33F1,1996,9.811674284878965,2,10.310391030017026,4
33F2,1996,10.72844328331809,2,10.605558543101978,4
33F3,1996,9.254633027545019,2,10.615027588616588,4
33F4,1996,9.265424174862641,2,10.29104265492163,4
34F1,1996,9.151296346417086,2,9.976335446810262,4
34F2,1996,10.636326274824224,2,10.53270556784293,4
34F3,1996,12.105496433295425,2,10.019864140086947,4
34F4,1996,9.44329469585588,2,10.944314834894438,4
35F0,1996,10.081094917559328,1,10.521027310506428,4
35F1,1996,9.376246309978532,1,10.251318647124071,4
35F2,1996,10.145586208341122,2,10.730575453117707,4
35F3,1996,10.745202562122662,2,11.451773642997459,4
35F4,1996,11.661136169297027,2,10.762578158662867,4
36F0,1996,11.929269469451345,2,11.344559995603799,4
36F1,1996,11.627297116178749,1,11.26143479215068,4
36F2,1996,12.164526665545411,2,11.165190379464663,4
36F3,1996,11.894875761056264,2,11.210049293973992,4
36F4,1996,10.966939615616662,3,10.931155342396051,4
36F5,1996,9.190799804106007,3,10.15147407816732,4
36F6,1996,7.797225854555213,2,9.766870642312771,4
36F7,1996,8.152898575740055,2,9.87707461535529,4
37E9,1996,11.440621555363954,1,12.625092813557583,4
37F0,1996,12.229226393313162,2,12.202808763973195,4
37F1,1996,11.575696723627438,2,11.421789019478501,4
37F2,1996,10.993002432282518,1,11.336599659540447,4
37F3,1996,10.963528332611231,2,11.324443829180352,4
37F4,1996,10.97780963512491,3,10.962257407145653,4
37F5,1996,10.863921207372496,3,10.709418887047498,4
37F6,1996,10.859862982032524,2,10.736484837685115,4
37F7,1996,12.128576980170324,2,9.588815520618395,4
37F8,1996,8.722632644663097,2,9.743189853894247,4
38E9,1996,12.47622808401578,2,12.673875756086092,4
38F0,1996,13.86564730745004,1,12.10723319713238,4
38F1,1996,10.837630136139577,2,11.84868478577014,4
38F2,1996,10.64264691637771,2,11.204727408834618,4
38F3,1996,11.432087488257716,2,11.227232629723662,4
38F4,1996,11.054640472982227,1,11.30762799248581,4
38F5,1996,11.809203126926555,1,11.124279359464028,4
38F6,1996,12.156215308642427,2,11.555623570065165,4
38F7,1996,10.619867880037905,2,10.947964222236127,4
38F8,1996,8.0714159796287,1,10.259383048401354,3
39E8,1996,12.21872996401863,1,12.634386882036518,4
39E9,1996,13.170504197511743,2,12.444413664613615,4
39F0,1996,12.885848175061003,2,12.689795456369906,4
39F1,1996,11.310748195625369,2,11.875016224824154,4
39F2,1996,11.556189578658657,2,11.691631165756053,4
39F3,1996,12.248114796923483,1,11.458178292714354,4
39F4,1996,11.011411719634053,1,11.00899651509939,4
39F5,1996,10.422340448858963,1,12.012026530244961,4
39F6,1996,12.933560291263678,2,11.238614129480169,4
39F7,1996,11.43564862050306,2,10.700028622401037,3
39F8,1996,NA,0,9.668397544017798,4
40E8,1996,12.6939668112595,2,12.530017262932176,4
40E9,1996,12.196848435359046,1,12.86022532216076,4
40F0,1996,12.412282124892473,3,12.64840659343621,4
40F1,1996,12.220397009437384,3,12.121286527545495,4
40F2,1996,12.565014754097653,2,11.853726053842298,4
40F3,1996,11.833024384306988,2,11.832916581221514,4
40F4,1996,10.310890341632888,2,11.683673380422888,4
40F5,1996,12.293930983155558,1,10.306640257443402,4
40F6,1996,10.940252139916227,2,11.096768104587493,4
40F7,1996,8.54665769590153,1,10.739302901974867,4
41E7,1996,12.369501906677971,2,12.228118106040199,4
41E8,1996,13.334988745673058,2,12.549670887574784,4
41E9,1996,13.164148154979323,2,12.919316141142655,4
41F0,1996,13.29053275388741,2,13.037918173660838,4
41F1,1996,12.197101035566483,2,12.571319364234375,4
41F2,1996,11.805293242966165,2,12.212276594603708,4
41F3,1996,12.207646432232035,2,11.882667188948046,4
41F4,1996,11.596326434594957,2,10.810119974415525,4
41F5,1996,9.553078099365528,1,11.49811837822379,4
41F6,1996,10.61292344802921,1,10.508266153772997,4
41F7,1996,9.968387399450972,1,10.212424985469806,4
42E7,1996,10.9124501898459,1,12.48866441984142,4
42E8,1996,11.971066677382339,2,12.345358478700593,4
42E9,1996,12.854894629651103,2,13.116847560099359,4
42F0,1996,14.378141379205072,2,12.798150754042734,4
42F1,1996,12.969054450646542,2,12.76000813702818,4
42F2,1996,11.879344156518659,2,12.268338072717981,4
42F3,1996,12.296024693924075,2,11.391071657044627,4
42F4,1996,11.168865024431643,2,11.45406289230062,4
42F5,1996,11.489292647115432,2,10.506421252464138,4
42F6,1996,11.571346976359262,2,10.98554041442042,4
42F7,1996,10.11877182158922,2,11.165902302885197,4
43E8,1996,12.279100349632309,2,12.363876847613556,4
43E9,1996,12.954034028830701,2,12.593240069783159,4
43F0,1996,12.078121181985882,2,13.237978336123781,4
43F1,1996,12.585445976822509,2,12.149546940171863,4
43F2,1996,12.002979903335138,2,11.88845699486732,4
43F3,1996,10.308431014996167,2,11.480342811029189,4
43F4,1996,10.434607793568018,2,10.576674421315278,4
43F5,1996,9.73239490970012,2,11.557333500305523,4
43F6,1996,11.721173740947815,2,11.322675700108238,4
43F7,1996,11.402701094782739,2,10.844919984586816,4
44E6,1996,12.149376894023987,2,12.210848921894389,3
44E7,1996,10.896210585170795,2,12.879977293401687,4
44E8,1996,13.634196099070389,2,12.197731853802855,4
44E9,1996,13.160844117863343,2,12.935923424020999,4
44F0,1996,13.034291959636846,1,12.098887045924808,4
44F1,1996,11.548032224719888,1,12.699545979125741,4
44F2,1996,12.78060683113195,1,11.593209923728663,4
44F3,1996,11.187758853289521,1,11.696702571447059,4
44F4,1996,11.097006736133183,1,11.845435632030846,4
44F5,1996,12.584259819590828,1,11.109781375269083,4
45E6,1996,12.50546971325873,2,13.347551243594886,3
45E7,1996,13.230866467253641,2,12.629715757620382,4
45E8,1996,12.454772362544976,2,13.008998890175455,4
45E9,1996,12.12117160854606,2,12.537162922573962,4
45F0,1996,11.608550659130119,2,12.60204235031329,4
45F1,1996,12.397839148911656,2,11.806442455560255,4
45F2,1996,11.634068713570107,2,12.59877000255864,4
45F3,1996,12.600765703526934,2,12.130590730050931,4
45F4,1996,13.175116061675014,1,11.852737646154681,4
46E6,1996,NA,0,13.49986157621427,3
46E7,1996,14.662410369507029,2,13.204110832987473,3
46E8,1996,13.04976138583173,2,13.596459188178992,4
46E9,1996,12.924484550757416,2,12.901860567688786,4
46F0,1996,12.854866684158601,2,12.417974821669823,4
46F1,1996,12.43511822482091,2,12.667796993032834,4
46F2,1996,12.615868326664017,2,12.299853776776326,4
46F3,1996,12.525419291669085,2,12.588408082048849,4
47E6,1996,NA,0,13.106140789267807,3
47E7,1996,13.33170464587705,2,13.443629063944305,3
47E8,1996,14.344169469906547,1,13.321036207975844,3
47E9,1996,13.581642592218751,3,13.399713911634398,4
47F0,1996,12.703745851970847,2,13.141329526672902,4
47F1,1996,12.80261381239706,3,12.49518154172971,4
47F2,1996,12.604808877045201,2,12.42140088969445,4
47F3,1996,12.532189420959241,2,12.491697687327513,4
48E7,1996,11.324307352419343,1,13.33170464587705,1
48E8,1996,NA,0,13.098310865409557,3
48E9,1996,13.626455773902784,3,13.490386414351924,3
48F0,1996,13.32619501791719,2,13.014787583987616,4
48F1,1996,12.237053213081882,2,12.828295917314989,4
48F2,1996,11.734931998757482,2,12.462881651909546,4
48F3,1996,13.101630581838279,1,12.30184738292215,4
49E8,1996,NA,0,12.847498920877557,3
49E9,1996,13.56332163291983,2,13.476127124863538,3
49F0,1996,13.491895496994946,1,13.247992462855288,4
49F1,1996,13.449442840188224,2,12.672908691370202,4
49F2,1996,11.908033935672822,2,12.669188684919625,4
49F3,1996,13.032234176299054,3,12.158531557136284,4
50E8,1996,11.669145026019956,1,12.703948903344966,3
