stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change
45F0,decade2_minus_decade1,1985-1994,1995-2004,71347.9,39462.6,-31885.299999999996,-44.68989276488866
45F1,decade2_minus_decade1,1985-1994,1995-2004,19133.9,8924.4,-10209.500000000002,-53.35817580315566
45F2,decade2_minus_decade1,1985-1994,1995-2004,7513.5,3153.5,-4360,-58.028881346908896
45F3,decade2_minus_decade1,1985-1994,1995-2004,9232.9,7799.7,-1433.1999999999998,-15.522750165170203
45F4,decade2_minus_decade1,1985-1994,1995-2004,17116.7,18484.9,1368.2000000000007,7.993363206692882
45F5,decade2_minus_decade1,1985-1994,1995-2004,7130.1,8879.4,1749.2999999999993,24.53401775571169
45F6,decade2_minus_decade1,1985-1994,1995-2004,286,207.2,-78.80000000000001,-27.552447552447557
46E6,decade2_minus_decade1,1985-1994,1995-2004,44.3,4506.5,4462.2,10072.686230248308
46E7,decade2_minus_decade1,1985-1994,1995-2004,2677.1,690.2,-1986.8999999999999,-74.21837062492996
46E8,decade2_minus_decade1,1985-1994,1995-2004,7738.7,7300,-438.6999999999998,-5.668910798971401
46E9,decade2_minus_decade1,1985-1994,1995-2004,15879.3,13054.6,-2824.699999999999,-17.78856750612432
46F0,decade2_minus_decade1,1985-1994,1995-2004,32325.4,20175.5,-12149.900000000001,-37.58623249828309
46F1,decade2_minus_decade1,1985-1994,1995-2004,6283,5840,-443,-7.050771924240013
46F2,decade2_minus_decade1,1985-1994,1995-2004,2492,1003.8999999999999,-1488.1000000000001,-59.71508828250401
46F3,decade2_minus_decade1,1985-1994,1995-2004,13819.6,15551.5,1731.8999999999996,12.532200642565629
46F4,decade2_minus_decade1,1985-1994,1995-2004,1151.3,1428.3,277,24.05975853383132
46F5,decade2_minus_decade1,1985-1994,1995-2004,286.7,313.6,26.900000000000034,9.382629926752717
46F6,decade2_minus_decade1,1985-1994,1995-2004,8,27,19,237.5
47E6,decade2_minus_decade1,1985-1994,1995-2004,925,11911.600000000002,10986.600000000002,1187.740540540541
47E7,decade2_minus_decade1,1985-1994,1995-2004,2653.5,955.7999999999998,-1697.7000000000003,-63.97964951950255
47E8,decade2_minus_decade1,1985-1994,1995-2004,4218.8,1611.6,-2607.2000000000003,-61.799563857020956
47E9,decade2_minus_decade1,1985-1994,1995-2004,11672.5,10347.7,-1324.7999999999993,-11.349753694581276
47F0,decade2_minus_decade1,1985-1994,1995-2004,13649.1,10244.7,-3404.3999999999996,-24.942303888168446
47F1,decade2_minus_decade1,1985-1994,1995-2004,4298.1,3086.4,-1211.7000000000003,-28.19152648844839
47F2,decade2_minus_decade1,1985-1994,1995-2004,5363.7,4811.9,-551.8000000000002,-10.287674553013781
47F3,decade2_minus_decade1,1985-1994,1995-2004,12673.9,17833,5159.1,40.70649129312998
47F4,decade2_minus_decade1,1985-1994,1995-2004,158.2,280,121.80000000000001,76.99115044247789
47F5,decade2_minus_decade1,1985-1994,1995-2004,131.4,146.2,14.799999999999983,11.263318112633167
48E6,decade2_minus_decade1,1985-1994,1995-2004,1798.5,7601,5802.5,322.62996941896023
48E7,decade2_minus_decade1,1985-1994,1995-2004,2043.9,4195.8,2151.9,105.28401585204755
48E8,decade2_minus_decade1,1985-1994,1995-2004,11322.3,4641.2,-6681.0999999999995,-59.00832869646627
48E9,decade2_minus_decade1,1985-1994,1995-2004,5807.7,3874.8,-1932.8999999999996,-33.28167777261222
48F0,decade2_minus_decade1,1985-1994,1995-2004,6371.5,6290.6,-80.89999999999964,-1.2697167072117967
48F1,decade2_minus_decade1,1985-1994,1995-2004,2120.3,1518,-602.3000000000002,-28.40635759090695
48F2,decade2_minus_decade1,1985-1994,1995-2004,2737.3,1533,-1204.3000000000002,-43.99590837686772
48F3,decade2_minus_decade1,1985-1994,1995-2004,11009.8,18627.3,7617.5,69.1883594615706
48F4,decade2_minus_decade1,1985-1994,1995-2004,171.3,1190.1,1018.8,594.7460595446585
48F5,decade2_minus_decade1,1985-1994,1995-2004,93.1,154.6,61.5,66.05800214822771
49E6,decade2_minus_decade1,1985-1994,1995-2004,4413.3,9122.8,4709.499999999999,106.71153105385989
49E7,decade2_minus_decade1,1985-1994,1995-2004,2184.3,7606.800000000001,5422.500000000001,248.24886691388548
49E8,decade2_minus_decade1,1985-1994,1995-2004,241.8,3919.8,3678,1521.091811414392
49E9,decade2_minus_decade1,1985-1994,1995-2004,10127.8,9194.5,-933.2999999999993,-9.21522936866841
49F0,decade2_minus_decade1,1985-1994,1995-2004,24327.9,12204.4,-12123.500000000002,-49.83372999724597
49F1,decade2_minus_decade1,1985-1994,1995-2004,11765.2,4908.4,-6856.800000000001,-58.28035222520655
49F2,decade2_minus_decade1,1985-1994,1995-2004,2985.6,2527.6,-458,-15.340300107181136
49F3,decade2_minus_decade1,1985-1994,1995-2004,10293.3,17472.2,7178.9000000000015,69.74342533492661
49F4,decade2_minus_decade1,1985-1994,1995-2004,110.5,1271.4,1160.9,1050.5882352941178
49F5,decade2_minus_decade1,1985-1994,1995-2004,33.5,75,41.5,123.88059701492537
50E6,decade2_minus_decade1,1985-1994,1995-2004,1294.4,2302.7,1008.2999999999997,77.89709517923359
50E7,decade2_minus_decade1,1985-1994,1995-2004,8072.7,8961,888.3000000000002,11.003753391058755
50E8,decade2_minus_decade1,1985-1994,1995-2004,3043.6,16400.2,13356.6,438.8421605992903
50E9,decade2_minus_decade1,1985-1994,1995-2004,19884.8,23680.2,3795.4000000000015,19.086940778886394
50F0,decade2_minus_decade1,1985-1994,1995-2004,12278.4,6780.1,-5498.299999999999,-44.78026452958039
50F1,decade2_minus_decade1,1985-1994,1995-2004,7587.4,4138.1,-3449.2999999999993,-45.46089569549516
50F2,decade2_minus_decade1,1985-1994,1995-2004,4088.5,6530.6,2442.1000000000004,59.73095267212915
50F3,decade2_minus_decade1,1985-1994,1995-2004,5326.3,9004.7,3678.4000000000005,69.06107429172222
50F4,decade2_minus_decade1,1985-1994,1995-2004,3835.3,3321.2,-514.1000000000004,-13.404427293823177
