stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change,abs_change_magnitude,change_tercile,change_class
41E6,decade3_minus_decade1,1985-1994,2005-2015,4388.6,8981.6,4593,104.65752176092603,4593,2,moderate
41E7,decade3_minus_decade1,1985-1994,2005-2015,67036.7,24888.636363636364,-42148.06363636363,-62.873118211910246,42148.06363636363,3,large_change
41E8,decade3_minus_decade1,1985-1994,2005-2015,8017.2,663.1818181818182,-7354.018181818182,-91.7280120468266,7354.018181818182,2,moderate
41E9,decade3_minus_decade1,1985-1994,2005-2015,2290,346.3636363636364,-1943.6363636363635,-84.87495037713379,1943.6363636363635,1,stable
41F0,decade3_minus_decade1,1985-1994,2005-2015,6123,1245.6363636363637,-4877.363636363636,-79.65643698127774,4877.363636363636,2,moderate
41F1,decade3_minus_decade1,1985-1994,2005-2015,5365.4,958.1818181818182,-4407.218181818182,-82.14146534868196,4407.218181818182,2,moderate
41F2,decade3_minus_decade1,1985-1994,2005-2015,4574.5,1278.8181818181818,-3295.681818181818,-72.04463478373195,3295.681818181818,1,stable
41F3,decade3_minus_decade1,1985-1994,2005-2015,8167.1,1839.1818181818182,-6327.918181818182,-77.48060121485206,6327.918181818182,2,moderate
41F4,decade3_minus_decade1,1985-1994,2005-2015,12379.6,2183.3636363636365,-10196.236363636364,-82.36321338037065,10196.236363636364,2,moderate
41F5,decade3_minus_decade1,1985-1994,2005-2015,39226.3,18179.272727272728,-21047.027272727275,-53.65539771206378,21047.027272727275,3,large_change
41F6,decade3_minus_decade1,1985-1994,2005-2015,36384.9,9487.09090909091,-26897.80909090909,-73.92574691948883,26897.80909090909,3,large_change
41F7,decade3_minus_decade1,1985-1994,2005-2015,41046.1,11531.727272727272,-29514.372727272726,-71.90542518600482,29514.372727272726,3,large_change
41F8,decade3_minus_decade1,1985-1994,2005-2015,1929.4,4151.363636363636,2221.963636363636,115.16345166184492,2221.963636363636,1,stable
42E7,decade3_minus_decade1,1985-1994,2005-2015,15970.3,2064.5454545454545,-13905.754545454545,-87.07259441246906,13905.754545454545,3,large_change
42E8,decade3_minus_decade1,1985-1994,2005-2015,6934.5,190.8,-6743.7,-97.2485399091499,6743.7,2,moderate
42E9,decade3_minus_decade1,1985-1994,2005-2015,3060.4,260.72727272727275,-2799.6727272727276,-91.48061453642424,2799.6727272727276,1,stable
42F0,decade3_minus_decade1,1985-1994,2005-2015,9410.6,3626.6363636363635,-5783.963636363636,-61.462219586037406,5783.963636363636,2,moderate
42F1,decade3_minus_decade1,1985-1994,2005-2015,2765.9,889.9090909090909,-1875.990909090909,-67.82569540080658,1875.990909090909,1,stable
42F2,decade3_minus_decade1,1985-1994,2005-2015,3884.9,1594.4545454545455,-2290.4454545454546,-58.95764252736119,2290.4454545454546,1,stable
42F3,decade3_minus_decade1,1985-1994,2005-2015,9803.3,1455.1818181818182,-8348.118181818181,-85.15620435790174,8348.118181818181,2,moderate
42F4,decade3_minus_decade1,1985-1994,2005-2015,11510.4,1753.4545454545455,-9756.945454545454,-84.76634569211717,9756.945454545454,2,moderate
42F5,decade3_minus_decade1,1985-1994,2005-2015,12110,4756.181818181818,-7353.818181818182,-60.72517078297425,7353.818181818182,2,moderate
42F6,decade3_minus_decade1,1985-1994,2005-2015,28019,12264.09090909091,-15754.90909090909,-56.229376818976725,15754.90909090909,3,large_change
42F7,decade3_minus_decade1,1985-1994,2005-2015,41149.2,16677.727272727272,-24471.472727272725,-59.470105681939685,24471.472727272725,3,large_change
42F8,decade3_minus_decade1,1985-1994,2005-2015,7404.3,3760.4545454545455,-3643.8454545454547,-49.212558304572404,3643.8454545454547,2,moderate
