stat_rec,n_hauls,mean_abs_residual,mean_annual_hours_total,cooks_distance,leverage,flagged_cooks
49F3,60,1.3496509169845912,10904.419354838708,1.8748253046487268e-4,0.006905039979226561,FALSE
45F4,61,1.263153856614172,14311.193548387097,1.482951790955228e-4,0.006339352796985584,FALSE
40F1,74,1.3033140371549086,3414.548387096775,1.377344117539651e-4,0.0111906526336898,FALSE
43F2,67,1.311727414494338,1632.2258064516127,1.1938984386017117e-4,0.012826434815561873,FALSE
40F0,69,1.30707298766131,2981.0967741935483,1.164523413141486e-4,0.011566674535134512,FALSE
40F7,74,1.2372540561523322,29519.645161290326,1.1366501937581279e-4,0.014366060552472623,FALSE
44F2,68,1.3062319525777695,4418.032258064517,7.931872853315174e-5,0.010373868376356586,FALSE
41F7,69,1.2441433473194305,27881.51612903226,7.875417562197452e-5,0.012672934900557771,FALSE
39E9,65,1.307507298278024,20517.064516129034,7.476517732518818e-5,0.00753233843716513,FALSE
51F1,53,1.3447716134593393,5468.322580645162,6.715553605261079e-5,0.009599384038419341,FALSE
39F4,82,1.32396129004218,14620.483870967742,6.433582047432272e-5,0.006330834169122045,FALSE
31F1,54,1.1756098970885578,57692.5806451613,5.218169246462924e-5,0.07478831793857185,FALSE
37E9,20,1.2851035623387204,25467.806451612898,4.228988252752152e-5,0.01054270917228948,FALSE
47F3,58,1.3260975378835136,11957,4.208287111203142e-5,0.0066379020540032595,FALSE
50F2,56,1.3410447437460005,4540.645161290323,3.4349439901532165e-5,0.010279214077081423,FALSE
45F1,67,1.327268609100653,10352.322580645163,3.120020401259707e-5,0.007078179121306902,FALSE
36F0,65,1.3366211275592947,6222.709677419354,3.1100715829796816e-5,0.00909384189116466,FALSE
37F0,71,1.2667701508643687,30485.645161290322,3.066874198255779e-5,0.015458252985186138,FALSE
